Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer
116,1631619768130,14/09/2021 11:42:48,1631619767801,2,14/09/2021 13:42:47,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,64,51,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,5,
117,1631619768325,14/09/2021 11:42:48,1631619768099,2,14/09/2021 13:42:48,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,65,52,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,3,
118,1631619768524,14/09/2021 11:42:48,1631619768300,2,14/09/2021 13:42:48,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,65,52,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,3,
119,1631619768826,14/09/2021 11:42:48,1631619768600,2,14/09/2021 13:42:48,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,66,53,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,1,
120,1631619769029,14/09/2021 11:42:49,1631619768800,2,14/09/2021 13:42:48,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,66,53,2,Screen 2,Zone2,timelimit_screen,199.99200000001292,null,,,,0,1,0,,,true,,,Task,1,
121,1631619769330,14/09/2021 11:42:49,1631619769100,2,14/09/2021 13:42:49,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,67,54,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,6,
122,1631619769530,14/09/2021 11:42:49,1631619769301,2,14/09/2021 13:42:49,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,67,54,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,6,
123,1631619775596,14/09/2021 11:42:55,1631619775364,2,14/09/2021 13:42:55,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,68,12,1,Screen 1,Zone2,response_text_entry,6047.4000000059605,null,,4925316,1,1,0,0,,,false,,,Test_Forwards,,4925316
124,1631619775870,14/09/2021 11:42:55,1631619775651,2,14/09/2021 13:42:55,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,69,55,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,8,
125,1631619776065,14/09/2021 11:42:56,1631619775851,2,14/09/2021 13:42:55,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,69,55,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,8,
