Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer
163,1631619803038,14/09/2021 11:43:23,1631619802793,2,14/09/2021 13:43:22,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,89,73,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,6,
164,1631619803317,14/09/2021 11:43:23,1631619803093,2,14/09/2021 13:43:23,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,90,74,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,9,
165,1631619803523,14/09/2021 11:43:23,1631619803293,2,14/09/2021 13:43:23,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,90,74,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,9,
166,1631619803809,14/09/2021 11:43:23,1631619803593,2,14/09/2021 13:43:23,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,91,75,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,3,
167,1631619804021,14/09/2021 11:43:24,1631619803793,2,14/09/2021 13:43:23,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,91,75,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,3,
168,1631619804322,14/09/2021 11:43:24,1631619804092,2,14/09/2021 13:43:24,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,92,76,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,7,
169,1631619804574,14/09/2021 11:43:24,1631619804293,2,14/09/2021 13:43:24,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,92,76,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,7,
170,1631619804996,14/09/2021 11:43:24,1631619804592,2,14/09/2021 13:43:24,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,93,77,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,1,
171,1631619805103,14/09/2021 11:43:25,1631619804792,2,14/09/2021 13:43:24,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,93,77,2,Screen 2,Zone2,timelimit_screen,199.99200000001292,null,,,,0,1,0,,,true,,,Task,1,
172,1631619805309,14/09/2021 11:43:25,1631619805093,2,14/09/2021 13:43:25,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,94,78,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,8,
173,1631619805542,14/09/2021 11:43:25,1631619805293,2,14/09/2021 13:43:25,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,94,78,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,8,
174,1631619805816,14/09/2021 11:43:25,1631619805592,2,14/09/2021 13:43:25,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,95,79,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,5,
175,1631619806019,14/09/2021 11:43:26,1631619805793,2,14/09/2021 13:43:25,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,95,79,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,5,
176,1631619815930,14/09/2021 11:43:35,1631619815691,2,14/09/2021 13:43:35,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,96,15,1,Screen 1,Zone2,response_text_entry,9882.20000000298,null,,246739148,1,0,1,0,,,false,,,Test_Forwards,,246937185
177,1631619816213,14/09/2021 11:43:36,1631619815987,2,14/09/2021 13:43:35,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,97,80,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,3,
178,1631619816414,14/09/2021 11:43:36,1631619816184,2,14/09/2021 13:43:36,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,97,80,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,3,
179,1631619816711,14/09/2021 11:43:36,1631619816483,2,14/09/2021 13:43:36,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,98,81,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,7,
180,1631619816917,14/09/2021 11:43:36,1631619816684,2,14/09/2021 13:43:36,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,98,81,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,7,
181,1631619817203,14/09/2021 11:43:37,1631619816984,2,14/09/2021 13:43:36,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,99,82,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,1,
182,1631619817423,14/09/2021 11:43:37,1631619817184,2,14/09/2021 13:43:37,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,99,82,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,1,
183,1631619817711,14/09/2021 11:43:37,1631619817480,2,14/09/2021 13:43:37,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,100,83,1,Screen 1,fixation,fixation,296.1999999999971,null,,null,,0,1,0,,,false,,,Task,6,
184,1631619817914,14/09/2021 11:43:37,1631619817685,2,14/09/2021 13:43:37,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,100,83,2,Screen 2,Zone2,timelimit_screen,199.99200000001292,null,,,,0,1,0,,,true,,,Task,6,
185,1631619818196,14/09/2021 11:43:38,1631619817981,2,14/09/2021 13:43:37,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,101,84,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,2,
186,1631619818422,14/09/2021 11:43:38,1631619818180,2,14/09/2021 13:43:38,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,101,84,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,2,
187,1631619818711,14/09/2021 11:43:38,1631619818480,2,14/09/2021 13:43:38,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,102,85,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,5,
188,1631619818902,14/09/2021 11:43:38,1631619818680,2,14/09/2021 13:43:38,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,102,85,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,5,
189,1631619819218,14/09/2021 11:43:39,1631619818980,2,14/09/2021 13:43:38,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,103,86,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,9,
190,1631619819402,14/09/2021 11:43:39,1631619819181,2,14/09/2021 13:43:39,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,103,86,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,9,
191,1631619819746,14/09/2021 11:43:39,1631619819480,2,14/09/2021 13:43:39,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,104,87,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,4,
192,1631619819945,14/09/2021 11:43:39,1631619819692,2,14/09/2021 13:43:39,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,104,87,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,4,
193,1631619820215,14/09/2021 11:43:40,1631619819980,2,14/09/2021 13:43:39,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,105,88,1,Screen 1,fixation,fixation,299.98799999999756,null,,null,,0,1,0,,,false,,,Task,8,
194,1631619820430,14/09/2021 11:43:40,1631619820180,2,14/09/2021 13:43:40,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,105,88,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,8,
195,1631619828495,14/09/2021 11:43:48,1631619828264,2,14/09/2021 13:43:48,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,106,16,1,Screen 1,Zone2,response_text_entry,8069.9000000059605,null,,31762593,1,0,1,0,,,false,,,Test_Forwards,,371625948
196,1631619828774,14/09/2021 11:43:48,1631619828554,2,14/09/2021 13:43:48,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,107,89,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,4,
197,1631619828979,14/09/2021 11:43:48,1631619828755,2,14/09/2021 13:43:48,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,107,89,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,4,
198,1631619829276,14/09/2021 11:43:49,1631619829054,2,14/09/2021 13:43:49,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,108,90,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,9,
199,1631619829482,14/09/2021 11:43:49,1631619829255,2,14/09/2021 13:43:49,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,108,90,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,9,
200,1631619829779,14/09/2021 11:43:49,1631619829555,2,14/09/2021 13:43:49,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,109,91,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,8,
201,1631619830032,14/09/2021 11:43:50,1631619829781,2,14/09/2021 13:43:49,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,109,91,2,Screen 2,Zone2,timelimit_screen,199.99200000002747,null,,,,0,1,0,,,true,,,Task,8,
202,1631619830266,14/09/2021 11:43:50,1631619830053,2,14/09/2021 13:43:50,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,110,92,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,2,
203,1631619830469,14/09/2021 11:43:50,1631619830255,2,14/09/2021 13:43:50,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,110,92,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,2,
204,1631619830771,14/09/2021 11:43:50,1631619830555,2,14/09/2021 13:43:50,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,111,93,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,1,
205,1631619830985,14/09/2021 11:43:50,1631619830755,2,14/09/2021 13:43:50,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,111,93,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,1,
206,1631619831281,14/09/2021 11:43:51,1631619831054,2,14/09/2021 13:43:51,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,112,94,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,7,
207,1631619831469,14/09/2021 11:43:51,1631619831254,2,14/09/2021 13:43:51,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,112,94,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,7,
208,1631619831772,14/09/2021 11:43:51,1631619831555,2,14/09/2021 13:43:51,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,113,95,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,6,
209,1631619831975,14/09/2021 11:43:51,1631619831754,2,14/09/2021 13:43:51,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,113,95,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,6,
210,1631619832348,14/09/2021 11:43:52,1631619832054,2,14/09/2021 13:43:52,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,114,96,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,4,
211,1631619832476,14/09/2021 11:43:52,1631619832255,2,14/09/2021 13:43:52,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,114,96,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,4,
212,1631619832785,14/09/2021 11:43:52,1631619832555,2,14/09/2021 13:43:52,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,115,97,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,5,
213,1631619832994,14/09/2021 11:43:52,1631619832755,2,14/09/2021 13:43:52,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,115,97,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,5,
214,1631619833276,14/09/2021 11:43:53,1631619833054,2,14/09/2021 13:43:53,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,116,98,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,3,
215,1631619833572,14/09/2021 11:43:53,1631619833255,2,14/09/2021 13:43:53,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,116,98,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,3,
216,1631619841866,14/09/2021 11:44:01,1631619841637,2,14/09/2021 13:44:01,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,117,17,1,Screen 1,Zone2,response_text_entry,8367.40000000596,null,,29176543,1,0,1,0,,,false,,,Test_Forwards,,4982176453
217,1631619842147,14/09/2021 11:44:02,1631619841935,2,14/09/2021 13:44:01,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,118,99,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,5,
218,1631619842360,14/09/2021 11:44:02,1631619842135,2,14/09/2021 13:44:02,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,118,99,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,5,
219,1631619842647,14/09/2021 11:44:02,1631619842434,2,14/09/2021 13:44:02,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,119,100,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,7,
220,1631619842861,14/09/2021 11:44:02,1631619842636,2,14/09/2021 13:44:02,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,119,100,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,7,
221,1631619843163,14/09/2021 11:44:03,1631619842934,2,14/09/2021 13:44:02,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,120,101,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,3,
222,1631619843354,14/09/2021 11:44:03,1631619843135,2,14/09/2021 13:44:03,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,120,101,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,3,
223,1631619843663,14/09/2021 11:44:03,1631619843434,2,14/09/2021 13:44:03,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,121,102,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,1,
224,1631619843854,14/09/2021 11:44:03,1631619843635,2,14/09/2021 13:44:03,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,121,102,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,1,
225,1631619844199,14/09/2021 11:44:04,1631619843935,2,14/09/2021 13:44:03,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,122,103,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,2,
226,1631619844366,14/09/2021 11:44:04,1631619844135,2,14/09/2021 13:44:04,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,122,103,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,2,
227,1631619844651,14/09/2021 11:44:04,1631619844435,2,14/09/2021 13:44:04,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,123,104,1,Screen 1,fixation,fixation,299.9880000000121,null,,null,,0,1,0,,,false,,,Task,9,
228,1631619844857,14/09/2021 11:44:04,1631619844635,2,14/09/2021 13:44:04,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,123,104,2,Screen 2,Zone2,timelimit_screen,199.99199999999837,null,,,,0,1,0,,,true,,,Task,9,
229,1631619845163,14/09/2021 11:44:05,1631619844934,2,14/09/2021 13:44:04,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,124,105,1,Screen 1,fixation,fixation,299.987999999983,null,,null,,0,1,0,,,false,,,Task,8,
